ticker,N,MAPE,date_start,date_end,model_type,notes,n_epochs,sentiment_variance,price_variance
FB,203,4.835466216939645,2020-05-22 00:00:00,2021-02-20 00:00:00,arima, ,,0.34868653756804757,0.16250758707426205
FB,203,6.225982579453911,2020-05-22 00:00:00,2021-02-20 00:00:00,prophet, ,,0.34868653756804757,0.16250758707426205
FB,207,31.41201989902141,2020-05-18 00:00:00,2021-02-20 00:00:00,lstm1,loss stopped changing,6.0,0.34868653756804757,0.16250758707426205
FB,207,32.19496362312469,2020-05-18 00:00:00,2021-02-20 00:00:00,lstm2,loss stopped changing,5.0,0.34868653756804757,0.16250758707426205
GOOGL,115,6.683265390201752,2020-09-15 00:00:00,2021-02-17 00:00:00,arima, ,,0.34242517908447345,0.5539189088506655
GOOGL,115,7.812539553836688,2020-09-15 00:00:00,2021-02-17 00:00:00,prophet, ,,0.34242517908447345,0.5539189088506655
GOOGL,119,29.594416580494975,2020-09-09 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,6.0,0.34242517908447345,0.5539189088506655
GOOGL,119,28.3831985741324,2020-09-09 00:00:00,2021-02-17 00:00:00,lstm2,loss started increasing,7.0,0.34242517908447345,0.5539189088506655
GOOG,116,6.475943895515464,2020-09-15 00:00:00,2021-02-18 00:00:00,arima, ,,0.3415397359279474,0.5648843346695617
GOOG, , , , , ,error during prophet,,,
GOOG,120,17.690381051482735,2020-09-09 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,9.0,0.3415397359279474,0.5648843346695617
GOOG,120,17.81180609175415,2020-09-09 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,10.0,0.3415397359279474,0.5648843346695617
NVDA,120,3.4269271385771267,2020-09-17 00:00:00,2021-02-18 00:00:00,arima, ,,0.2546391089056101,0.034670542485738774
NVDA,120,4.13054526734944,2020-09-17 00:00:00,2021-02-18 00:00:00,prophet, ,,0.2546391089056101,0.034670542485738774
NVDA,124,55.46871867252283,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,10.0,0.2546391089056101,0.034670542485738774
NVDA,124,51.52836328227654,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,15.0,0.2546391089056101,0.034670542485738774
MA,115,120.602721761327,2020-09-22 00:00:00,2021-02-18 00:00:00,arima, ,,0.16020101259957814,2.0595870658721442
MA,115,137.40999847370406,2020-09-22 00:00:00,2021-02-18 00:00:00,prophet, ,,0.16020101259957814,2.0595870658721442
MA,119,82.74303155745974,2020-09-16 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,4.0,0.16020101259957814,2.0595870658721442
MA,119,82.88057535102135,2020-09-16 00:00:00,2021-02-18 00:00:00,lstm2,loss started increasing,4.0,0.16020101259957814,2.0595870658721442
BAC,120,43.291753229222394,2020-09-16 00:00:00,2021-02-18 00:00:00,arima, ,,0.3069408521781783,0.9918192810797348
BAC,120,59.10916671874759,2020-09-16 00:00:00,2021-02-18 00:00:00,prophet, ,,0.3069408521781783,0.9918192810797348
BAC,124,55.858599332168666,2020-09-10 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,6.0,0.3069408521781783,0.9918192810797348
BAC,124,68.61947737203447,2020-09-10 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,6.0,0.3069408521781783,0.9918192810797348
NFLX,119,5.864668894960672,2020-09-17 00:00:00,2021-02-18 00:00:00,arima, ,,0.25023939032041403,0.10995599820236579
NFLX,119,7.708409295027957,2020-09-17 00:00:00,2021-02-18 00:00:00,prophet, ,,0.25023939032041403,0.10995599820236579
NFLX,123,18.97407526206499,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,32.0,0.25023939032041403,0.10995599820236579
NFLX,123,22.638324628546442,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,29.0,0.25023939032041403,0.10995599820236579
CMCSA,115,12.342336272040127,2020-09-16 00:00:00,2021-02-17 00:00:00,arima, ,,0.24471074702647236,0.3393179469602269
CMCSA,115,12.569472392201506,2020-09-16 00:00:00,2021-02-17 00:00:00,prophet, ,,0.24471074702647236,0.3393179469602269
CMCSA,119,20.188235319309047,2020-09-10 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,4.0,0.24471074702647236,0.3393179469602269
CMCSA,119,18.631340766962477,2020-09-10 00:00:00,2021-02-17 00:00:00,lstm2,loss started increasing,5.0,0.24471074702647236,0.3393179469602269
ABT,113,4.3945292642754135,2020-09-14 00:00:00,2021-02-17 00:00:00,arima, ,,0.16055510552627553,0.11950319354424348
ABT,113,4.9983055882579706,2020-09-14 00:00:00,2021-02-17 00:00:00,prophet, ,,0.16055510552627553,0.11950319354424348
ABT,117,31.660531920710643,2020-09-08 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,12.0,0.16055510552627553,0.11950319354424348
ABT,117,31.66805604578023,2020-09-08 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,9.0,0.16055510552627553,0.11950319354424348
T,119,285.54439917109795,2020-09-18 00:00:00,2021-02-18 00:00:00,arima, ,,0.3720188114222183,3.538288123268879
T,119,348.8016889441611,2020-09-18 00:00:00,2021-02-18 00:00:00,prophet, ,,0.3720188114222183,3.538288123268879
T,123,129.60863673423074,2020-09-14 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,27.0,0.3720188114222183,3.538288123268879
T,123,125.53147469466374,2020-09-14 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,22.0,0.3720188114222183,3.538288123268879
AVGO,115,5.433227534207608,2020-09-04 00:00:00,2021-02-17 00:00:00,arima, ,,0.262821148155587,0.4998678098852244
AVGO,115,5.955652228631244,2020-09-04 00:00:00,2021-02-17 00:00:00,prophet, ,,0.262821148155587,0.4998678098852244
